"","mu","lambda","rho","phi","alpha1","gam","tau","omega1","omega2","alpha","beta","sigma"
"1",0.200730491143785,0.00910508795620185,2.61902181543042,0.966011819993753,0.0988744231480693,0.989380706640629,9.52481850682187,0.0202276782512562,0.0100030091579542,0.00124027944391373,0.00380585207610173,NA
"2",0.180350434654241,0.972489740675616,0.0979863939416613,0.599995389799884,0.0817659421451522,0.774990372006084,7.90789273452256,0.0217905872172128,0.0176999287193936,0.0175293374513097,0.00174045240393915,NA
"3",0.22591976309554,0.23954077082498,1.62650601271499,0.862360848731115,0.0999019807670346,0.926621871295912,5.21808113844798,0.0299620431588486,0.0100581606556809,2.4320417464278e-05,1.89699829135221e-05,NA
"4",0.223063599744071,1.41803742318484e-05,1.79568020406182,0.999999855825638,0.000895490713590308,0.999173374151449,9.99684935538681,0.0299978427364063,0.0182952863837135,8.37448085421424e-08,1.70182526194631e-07,NA
"5",0.239763552233114,0.451593460447393,1.34728262504595,0.999994390607432,0.0999999945784612,4.77869804170293e-05,9.43156273692564,0.0299998893081274,0.0109539538886855,3.02731963007284e-08,3.97057399315694e-09,NA
"6",0.246166531720934,0.9933490604115,1.16254843943106,0.500012196756644,0.0637005006333274,0.998157601023932,9.99894777832277,0.0299962093432831,0.0199999989954294,4.16754627435295e-06,5.75818463014081e-15,NA
"7",0.238611314646659,0.999998502877416,2.99999999999875,0.999637933030526,0.0999999999943541,0.988313733045653,5.00158459992562,0.0200000094307294,0.0100000029637247,1.56917102210306e-12,1.98051838286934e-09,NA
"8",0.249841930827758,0.781207572980351,1.17328135790688,0.971064972717498,0.099955504082966,0.0430803696532395,9.97789356265383,0.0299998467923461,0.0199866988426749,0.000206920905860036,3.22484106694256e-08,NA
"9",0.252853474611892,0.511602547236941,1.3477105759619,0.500005683074198,0.00525861980304918,0.995674750349781,9.96266464908198,0.027195473057045,0.0199996009753158,0.000117195344186994,2.30929346851294e-07,NA
"10",0.257087606664069,0.244396311496637,2.37966163912347,0.999999999987961,0.0625401454468721,0.995341106016924,9.99998604500808,0.0200000024852731,0.0102594050730556,1.51833841080126e-07,7.05105604637209e-09,NA
"11",0.216067680995913,3.79427890365608e-05,2.99623896573988,0.999398225332888,2.53050810120993e-06,0.311642454066679,9.99907502078607,0.0236216123063574,0.0179425221753219,0.00162436178952155,0.000349688259547562,0.252768293621122
"12",0.20788088499132,0.164883941375943,0.0764843876733334,0.802261554381904,0.0741253622303888,0.663682992011796,6.46082308512332,0.0287341226228556,0.01984735572259,0.0201357069244167,0.00247064594198584,0.257024552436397
"13",0.216276298788749,0.877661796229303,2.80219270028987,0.996815028306598,0.001314761350129,0.0221710504568214,9.81298799868596,0.0299615983677643,0.0195669306872139,0.000114566272069412,0.000552921214467485,0.243945857532838
"14",0.243661124947763,0.947031414594378,1.57005315515208,0.536957836658869,0.00421922356363123,0.564738495538041,8.68800883734339,0.0288195137479428,0.019736690437369,0.0970914545098541,0.000163043722034884,0.262470746398721
"15",0.215516116642648,0.970500053287116,2.98374265663705,0.909447429800418,0.00897020805140845,0.509028156773362,9.99199901134112,0.0200366768940707,0.0168061049448306,0.000205480480172172,3.21527835290236e-05,0.247489532770375
"16",0.217512532706076,0.265210032799545,2.73864412559377,0.500039038508906,0.0114911280120601,0.430859915779402,9.99999907883375,0.0299999793512001,0.0199190295899118,1.79546879443151e-05,0.000896095062415704,0.245740726599256
"17",0.231732916773813,0.304532100511128,0.0408673982032426,0.995518149808775,0.000259312805198598,0.0933774493929476,9.99824927690001,0.0274767617716321,0.0199962496936078,0.0964496724914818,0.00147107820637841,0.24535325296502
"18",0.213633465242374,0.968944151698941,2.89945110484738,0.718626262215395,0.000458407086186175,0.0099401373275316,9.75615207633177,0.0290004481240756,0.0199999999993942,0.000829321514734373,2.12250430200941e-07,0.237702013548411
"19",0.201601528504922,0.991690151809356,0.00937638421329711,0.582822656988487,0.0970918324729602,0.0749580181522877,9.62686625145891,0.0204059989777339,0.0139429909700298,0.0378135575619686,0.000453141676049415,0.244504996540695
"20",0.210648303590432,0.413546321790185,2.45894529916632,0.526603543204438,0.000447140344767284,0.753492078649502,5.60393367247246,0.0269184968422996,0.0160293590231216,0.0354401445805915,0.000664318900582292,0.255084582851357
"21",0.197893976430537,0.999957707766393,2.85561614621733,0.505801043210228,0.000116189900906652,0.999068668157233,9.78604428057781,0.0200659357313,0.0198003484508494,0.00234744610930575,0.000387274634265305,0.258300724888742
"22",0.210179395278166,0.0788140928977592,0.000881021892126403,0.879816060234374,0.000425230926932288,0.3928727408276,9.80346686204549,0.0260174714449209,0.0172026058532151,0.0999999202694669,1.92577688966292e-06,0.259639034462623
"23",0.214934984080715,0.0477488739702841,0.0180771724792445,0.512478197547496,0.0999831345615585,0.18254631147433,9.99996461558263,0.0204334113256633,0.0122044807613627,0.0999989642493191,7.10040030165302e-06,0.269013069745599
"24",0.203862517319867,0.99631700348286,2.24069056844014,0.548213727997781,0.0040491142911068,0.240122358961045,9.99227498158501,0.0299631785295748,0.0199548142251566,0.00133257439496778,2.52502787512797e-07,0.259948558312796
"25",0.215472164059656,0.892812705684685,0.0327030922185629,0.986027032190349,1.58900493623712e-06,0.790489977834611,9.99703099384116,0.0299805322646341,0.0190564244255083,0.0821217453798167,0.000159768295310548,0.264327311946222
"26",0.204070328171972,0.0990490691235843,0.921238451131305,0.880655685016006,0.000308290237089187,0.950294933827836,9.74413226097991,0.0214551351169438,0.0195417896827089,0.0222566999170097,0.00151398617125472,0.258501349874168
"27",0.201835912831916,0.613960314249118,0.246595743844437,0.86858605805396,0.0420241330636059,0.573592757916323,9.90647021050305,0.0214900099358304,0.0112753178732586,0.0267638406396396,0.00138744237428825,0.256379252185822
"28",0.211919622861086,0.698929518726243,1.85688025950453,0.963607140845096,0.098208102786029,0.027026272421954,5.40663938072853,0.0288306225361025,0.0119502450720445,0.0234929449471283,0.0012118972146232,0.245245629301418
"29",0.211561169263973,0.0764028115103193,2.91953370253192,0.990304289743327,0.0999999966658994,0.532394760675134,5.0069722464478,0.0283767970354734,0.0190118857277927,0.0142083061903994,2.55619836022785e-09,0.245023402891804
"30",0.230746427602231,0.749739385542447,1.32387650115092,0.817089185314644,0.00538562186527668,0.101092430394682,6.47536718371072,0.0296442016138459,0.0198968439922268,0.0967859613142355,2.3937765157486e-05,0.246315054450826
"31",0.206761297527595,0.391927167768469,2.90100202328165,0.968768788050961,0.0068551246512342,0.117395398478266,5.73691012095818,0.0212806338401295,0.0159318091827359,1.61724860196197e-05,0.000939767012773338,0.237969161203258
"32",0.201797362682709,0.649127947898729,0.0300406117419242,0.729387211021704,0.0987835782390424,0.982306713393036,9.90770698726312,0.0203202287805952,0.0198661829111891,0.0453923416454346,1.28977614953402e-05,0.240435644870498
"33",0.199277458736123,1.65966478341359e-05,2.98368571023605,0.903029546245416,0.0969806320735018,0.854675885683168,6.27043248655453,0.0283956875496345,0.0130498347903372,0.00296628878273095,0.000373022968889476,0.234233892144549
"34",0.211654090971084,0.558652893986807,2.83263684727668,0.978576233351151,0.0944466097491858,0.966373614458479,5.09965699419592,0.0290970725263205,0.0100860523767232,0.000549202851965232,0.00170021907105091,0.228227769359254
"35",0.208241727062,0.928441485363232,0.782513245666701,0.954337620198169,0.000268223966954279,0.568844944830999,9.95353591819045,0.0299079219403482,0.0115876434667212,0.0400602919951897,2.64286827449032e-07,0.240554022612864
"36",0.208478154640114,0.230689947894951,2.87630544355563,0.619250989236262,0.0944130988512363,0.638898502576627,9.73932765755847,0.0200353490127803,0.0105917834400237,0.0097618196242568,0.00139624616092715,0.232920935978632
"37",0.20917590410184,0.972997914328157,2.97902677025973,0.927570160195928,0.0999953069222624,0.9544791013204,5.01803367767253,0.0291758523041789,0.0147919082414285,0.000218286080191583,8.46686088381466e-05,0.237092881185897
"38",0.209513144153152,0.00688156487797523,2.99989600894005,0.964133169726269,0.000984277131001178,0.936862198954818,5.69609674074629,0.0200008206068589,0.0199999841671685,0.0215866824293912,6.98587430727986e-07,0.230945301363567
"39",0.238097251224743,0.997396608814706,2.36191778831794,0.936343350864979,1.51233893616904e-05,0.0043191101082623,9.25322994633816,0.0292227214042071,0.0199919119693776,0.0999596327303738,5.09168032306602e-06,0.237438068359327
"40",0.210658681759152,0.855942678335571,2.95585659823017,0.500025981873487,0.0999247021811976,0.518774146905512,9.99993284080644,0.0299995914680768,0.010551556063567,1.22735369464686e-05,0.000661379371584189,0.231690223379945
"41",0.202557341475504,0.132258407786481,0.344095871694804,0.989670930201744,0.0859613979563252,0.141981665810172,9.99845439327022,0.0296987513797888,0.0193647388478413,0.037161769526439,0.00114430093995001,0.235237309220394
"42",0.232722198813709,0.910400567593267,1.95255316477867,0.929129151391558,0.0232479652730871,0.0838979569289791,5.33204738963356,0.0286333734740989,0.0175705658956729,0.0963139839906356,0.000237228790076679,0.23293835518904
"43",0.207383066393032,0.455986071362726,2.93619654903655,0.973162006982676,0.0550238471994907,0.958628468125208,8.38199517937422,0.0260079187180613,0.0108874015360127,0.00303799142195883,0.00123145316294587,0.22804464029163
"44",0.207815679987064,0.00739612423160029,2.98797493899143,0.84748343355785,0.0994360834952353,0.343968600467916,8.98570991366856,0.028763985932244,0.0190945595843002,4.33556553780135e-05,0.00216694544920975,0.238158391076259
"45",0.206817809694222,0.643938277216986,2.17785591593781,0.967988548570222,0.075655382094755,0.0794632104687437,7.69214087748798,0.0289191519792342,0.0197459377688021,0.0149358371724327,0.000990971569266426,0.243453423259757
"46",0.20713975524627,0.574849314664083,1.76701005628707,0.706886236147025,0.0057461164517179,0.424746252003633,8.52827232192203,0.0289354797808517,0.0192177989516576,0.0302715661343316,0.000782737233632492,0.228301520173159
"47",0.201099817668441,0.999999468904511,2.988144202459,0.500011523216436,0.0558144985866779,0.19934075422148,9.99997487995607,0.02000956678862,0.0199999979282439,0.000206510393515122,4.90426340146487e-10,0.238237463826197
"48",0.202431434673365,0.251843799759411,2.25649430847047,0.516728137224269,0.0907256082371736,0.499089430236759,9.71065964576859,0.0299936959502067,0.0163877583308834,0.00397179509150573,0.000395791984146537,0.233112506698369
"49",0.211150590412626,0.999999430660639,2.99983429256491,0.999744500462236,0.0906795561455307,0.0132086383625326,5.00045381494724,0.0230393616561488,0.0101558977066452,0.0228726165438522,2.45714005408465e-07,0.234706045907254
"50",0.206720522510806,0.999997917029883,2.95681582912397,0.556138647010605,0.098445978835302,0.786318499031098,6.08572984125323,0.0237890466523595,0.0143788493154422,2.19551702107856e-08,0.000677238905639467,0.233744149847786
"51",0.20903125932708,0.613707507463288,2.99975305322358,0.95353934038175,0.0270395828078988,0.147314073837249,6.67949613743761,0.0299936971731959,0.0131707241615339,0.0110797343051787,4.12180573437348e-05,0.240210307327211
"52",0.207424266107559,0.833954441455549,2.86115794936367,0.500004178004351,0.079334724021241,0.999999435124004,9.99870575498699,0.0299832637216168,0.0199516246302214,0.00456091681635408,1.98334884189264e-07,0.241786300119173
"53",0.223236812996703,0.0444074411753893,1.63184029431738,0.500479679973296,0.00448125154964438,0.64717832435158,9.96376027111112,0.0299687228876233,0.019902665036048,0.0972828663063031,1.03079625423088e-05,0.244186556144022
"54",0.223957300597145,0.677647676475828,1.6565121990411,0.86210699302537,0.00997444869943431,0.665119459113665,7.11856908921506,0.0262655567931948,0.0189848463922672,0.098265697626495,2.69357868459673e-05,0.243635834069206
"55",0.195820628881909,0.382344004309874,0.0741823036449892,0.986356941198525,0.0911062746914064,0.636274452028434,5.28695898171402,0.0290179352493963,0.0186653081476081,0.0247327071060094,0.00220142043922439,0.241094132351601
