"","mu","lambda","rho","phi","alpha1","gam","tau","omega1","omega2"
"1",0.0250330254062536,0.0942682038156023,1.78003625194954,0.939264195545387,0.00350872903619717,0.752261694328105,7.63318582160399,0.0267176079304707,0.0122071746073396
"2",0.0652287472878257,0.353212306339859,1.39170013816401,0.968514327689689,0.090906033317252,0.854983048735529,6.51565005096278,0.0266733532615905,0.0161068564903437
"3",0.0664786799989967,0.284220082590352,0.0814669572966892,0.999907045902125,7.59764675052427e-14,0.00025309171019833,9.90774358860459,0.0299987549348346,0.0100890368186539
"4",0.109548969781493,0.300199868185331,0.124884600806677,0.797004162896109,0.000100232171668706,0.999994956311877,8.57256031022057,0.0299999864639866,0.0100000501531546
"5",0.137622547821549,0.300943593445917,0.192794891841677,0.562646089542145,0.0999719111159363,0.000790329358951466,9.99557234122596,0.0299749004316695,0.01000178377267
"6",0.00588281184359708,0.00156022868371414,0.110869998197021,0.882514104869295,0.0990283120911764,0.92997368227464,9.9183350060797,0.0200496071535596,0.0199891736448619
"7",0.197472889176586,0.809372588691439,0.116772313359877,0.930546210074182,0.0626501251905574,0.836067366935189,9.25483438764451,0.0217216810437286,0.0199520299448453
"8",0.1935936687186,0.296249576028911,0.19038431746149,0.996886053957755,0.0755097899556848,0.99872598823159,5.02603126750737,0.0299994522824968,0.0100002755963545
"9",0.20181527507948,0.302948203510669,0.212124048939649,0.999999999999961,6.45088485799315e-09,0.0252846713933179,8.0943221758462,0.0299963198744329,0.010000000000152
"10",0.186074801789964,0.32501910647376,0.175927272545518,0.993444006338753,0.0448274157920907,0.957154688371176,9.99792805152269,0.0287502515525372,0.0100371701627986
"11",0.230039908294603,0.950565493967312,0.0573076347643086,0.501237910004237,0.00527639789476109,0.948646567398944,5.00796549865054,0.0299481784531182,0.0199895457331349
"12",0.27429923481308,0.302706151836258,0.112666711547017,0.702987608262055,0.00828397619608777,0.825069789223527,7.91546317717707,0.0299998987227827,0.0100000985940016
"13",0.260745083455494,0.294000288910646,0.131771116767314,0.518716871752233,0.0986757573575059,0.221502040005781,6.32376636589074,0.029998759580882,0.010117154476377
"14",0.244649910642991,0.374740862609298,0.113832477746907,0.503945907256563,0.0998713301769468,0.990532678984903,7.64657652869871,0.0229220787187099,0.0100968424588507
"15",0.238199721297237,0.295258025679285,0.101042182855554,0.673285238734243,0.090379057206855,0.994913857892133,5.53160411796764,0.0272632729750166,0.011029162106279
"16",0.246725737423998,0.303983487004188,0.105968464575965,0.999977207810399,0.0564451610658591,0.00538072007807905,5.1640015882208,0.029999994309023,0.0100000361688462
"17",0.264375301746315,0.305010749300305,0.0901753465884203,0.999905116458861,0.082246908456427,6.63441390518069e-05,9.99998357200305,0.0299911546217444,0.0100000575291653
"18",6.44439875286377e-08,2.81312323837374e-12,0.0289706772001635,0.99999999999936,0.099999998735956,0.7054498976206,9.96516339814758,0.0299976511887205,0.0100001412915098
"19",0.273381626967525,0.307650868140598,0.0982293374676602,0.988424488469645,0.000116066045016135,0.998333837102376,5.00161679465697,0.0299967017503738,0.0100011645072196
"20",0.259114424893938,0.305495919933453,0.104049176216591,0.999999237505439,0.0976580166266769,0.00919917238729169,5.00746578504907,0.0299998601350033,0.0100004280771389
"21",0.257039787042246,0.305481679626721,0.0881105509781009,0.50046923930371,0.041237044702185,0.524805331082991,9.710031320501,0.0299999307418856,0.0100012811542176
"22",0.259915622235701,0.999999254170344,0.0548581786650797,0.500000804322544,0.0502061865966176,0.999418942010704,5.88493298138302,0.0299948818888549,0.0100000003084251
"23",0.269466298153162,0.304428145507805,0.10060764713736,0.534194504663681,0.0947167692066633,0.00436624637468977,9.98759193920916,0.0299999968986204,0.010000037282326
"24",0.281390325730721,0.30314743118173,0.102611535737166,0.989115361188153,0.000163117920547819,0.99996118513428,5.00000000000002,0.0299999999986651,0.0100007850391318
"25",0.285936152519365,0.30628818556375,0.101659788425708,0.501075448565519,0.0247171893141266,0.999999963829444,9.9937076606203,0.0299372782940855,0.01
"26",0.287366893213103,0.333591172074663,0.113972305847132,0.588283984007144,0.0101972287706276,0.975134640803138,9.98583306693984,0.0216311478379017,0.0104982042276776
"27",0.298038720501821,0.303958609950051,0.114251862359288,0.501974535627126,0.0999718863111203,0.204955060498373,7.78438942052554,0.0299999999725997,0.0100009752623941
"28",0.287584446070486,0.305803160524451,0.111497080359893,0.505132104947945,0.0956490389701196,0.488592016456729,9.42124600637902,0.0299974824556782,0.010000165900965
"29",0.285606145680035,0.309100319201391,0.1173903330104,0.659671355963297,0.00134423193975946,0.994388172998186,9.48139332770598,0.0293522718338917,0.0115211171218235
"30",0.299074901937265,0.140680436922922,4.52218224531695e-05,0.996998058326435,0.0999722155786013,0.0107912612115226,9.98261595035523,0.0243566438667064,0.0192976798643824
"31",0.297460035158491,0.336157447661719,0.118623754817958,0.984916338589204,0.0181861209880957,0.996303183991111,5.6813691201151,0.0243339347502196,0.0101473308234883
"32",0.291323258949216,0.28719732262783,0.104473350519371,0.873976848287375,0.0946447465324639,0.330284423347243,6.51042040951971,0.0295928776539431,0.0102541519442946
"33",0.292080327045318,0.999999886276281,0.0631331871272532,0.600826794656811,1.48737775887009e-05,0.143217184967925,9.98367009314832,0.02999999988945,0.0100001335651226
"34",0.28556191777907,0.305780590079845,0.102763493852822,0.996713881394951,0.0999887615938095,0.55288989975897,9.97323279421177,0.0299964875637436,0.0100000003022344
"35",0.279698571808208,0.308281766518989,0.0590462024324255,0.501211658640053,0.0114938928882634,0.982375045166979,5.1303605420197,0.02990496699179,0.0182411958004865
"36",0.272474906323935,0.310451895929266,0.101829116270817,1,4.80556045667817e-34,1.06526373791693e-54,10,0.03,0.0100181822410533
"37",0.26990264118616,0.307264875306669,0.104363912755617,0.951608058815844,0.0719630058976403,0.675553773112246,9.69188423597294,0.02999686677292,0.0100018504930351
"38",0.276756359227704,0.997870569742498,0.0806065927909327,0.928879445516323,0.0969168879840343,0.96601628352402,5.00140875103876,0.0200156974410246,0.0100133718234601
"39",0.284947967150367,0.306659577039277,0.0994746035725196,0.986880424432561,0.0121279532297918,0.821097852709463,5.71237027606009,0.0299995930145221,0.0100000243224812
"40",0.290600154206181,0.310992741911933,0.103337454572839,0.597039892980808,0.00513806432167295,0.281386336797098,9.94596533759772,0.0299478032865484,0.0100670273106638
"41",0.285587210442551,0.321562866428173,0.103208373127273,0.926219084641056,0.00171931828811338,0.979603052693524,5.25187168946497,0.0299986415727405,0.0100349572904993
"42",0.28693595937889,0.307638955449056,0.10542034509431,0.609468335497233,0.0162397456244567,0.999999991032042,5.06583193102764,0.0299999999126607,0.0100023095794131
"43",0.284793491238976,0.999943214885836,0.0591308107541825,0.994390407418077,0.0995905492050283,0.889250830679393,5.00507674854869,0.0299982100663098,0.0100000027853663
"44",0.289358010015819,0.369802990710357,0.103522012775288,0.98852133436976,0.0948874737790357,0.933950140069491,7.97465980283362,0.0206654701983623,0.0100376972878143
"45",0.29198803863597,0.30379342230544,0.0940408152292382,0.508237586773462,0.00372475175565327,0.999999999164951,5.00330508377441,0.0299999666025782,0.0100000368852452
"46",0.280840325539645,0.226092627550727,0.07120500558053,0.919559725014139,0.0232363149243335,0.318624603559944,5.0158416097411,0.0299570932124587,0.0156022691102171
"47",0.281411946209264,0.306998906053052,0.0928582188890151,0.500000009839291,1.06095450959874e-06,0.999999998207586,9.99932143557354,0.0299996151429075,0.010009475230799
"48",0.279558701336373,0.373101392733222,0.0482498277057047,0.925146887590974,0.0520945349622551,0.0137608146113103,5.1165025258315,0.0298274957739385,0.0199513990627519
"49",0.28079238118522,0.399462828777168,0.0483964158031725,0.501638506707043,0.0911781985073871,0.716751420783919,5.00041302718564,0.0298455016452056,0.0199998495632072
"50",0.286994964202722,0.305498227746484,0.0972941608546906,0.793191552035677,0.0254694144437325,0.57817399464775,9.78585803488381,0.0299555866992146,0.0100000527870253
