"","rho1","theta","beta0","beta1","gg"
"1",1,0,0,0,1
"2",3.25213131946733e-12,0,0,0,0.00129597759592762
"3",0.854271757589798,1.60062359028829e-08,0.140227423589312,0.20995182223199,3.95257548005304e-06
"4",0.000243845021279813,0.478055200691145,0.999746780020963,0.0757005596458872,0.257188614341828
"5",0.95269719297677,0.742593005020177,0.318217087055505,0.177800902335136,0.0158631185822431
"6",0.943931342718832,0.480255003608556,0.2601414162891,0.186204365970251,0.0281480755579428
"7",0.743952366196861,0.303508532140943,0.999882386488209,0.123258994504355,0.0534616978923698
"8",0.952148938780261,0.019539272649421,0.26045558458894,0.186613843676395,0.0323178898045194
"9",0.946637045557498,0.983967921194488,0.252844702544615,0.18084900929483,0.0191920090005887
"10",0.834656150547587,0.650045673101036,0.681338842606254,0.141833114248193,0.0412657715597452
"11",0.526581997575789,0.142012392301032,0.925292729343956,0.111567502679088,0.835298750849666
"12",0.498388319400223,0.427484229149164,0.975957887413342,0.109838280848468,0.999909752537382
"13",0.840806132516325,3.32655677213625e-06,0.558140441172333,0.146978441271831,0.0213480835797305
"14",0.782028385597696,6.68859695351314e-05,0.999994927485023,0.123175276989513,0.0569311617547463
"15",0.839028572435096,0.35748507828707,0.862418160758,0.127546028087887,0.0314717646722385
"16",0.962725060865477,0.000677138653507811,0.261291935008025,0.186356772928836,0.0373407614110949
"17",0.95559785207169,0.139334618234145,0.344185806275758,0.172668807705236,0.0134645916056062
"18",0.957345787920561,0.0195777149082237,0.358203233623584,0.186156470002275,0.0757832658521556
"19",0.966643790788242,0.900422299469309,0.269851903979252,0.185029440515528,0.0490510516650951
"20",0.581497562769294,0.000155446660445763,0.999129808257813,0.104013469864592,0.99775153312333
"21",0.901087948141692,0.693275095482576,0.631308320915322,0.150694913535976,0.0686999016475058
"22",0.968346395478931,0.100024879245584,0.270802683049432,0.184682910963967,0.052718987554776
"23",0.981115969642046,0.000303659316277379,0.330195657663054,0.188034742911116,0.0560135911466898
"24",0.573196205680163,0.0777729233471733,0.999988786445271,0.102911485437234,0.999958525457918
"25",0.974310407745986,0.527412740519929,0.250384543189516,0.18886886062643,0.0558436705563659
"26",0.975351759316999,0.998504420954471,0.238025917479538,0.190750135035596,0.0613530733833442
"27",0.984163215336778,0.350795104251063,8.77857340298722e-05,0.209925097554519,0.0572162572084818
"28",0.975227570855054,0.116924287713142,0.241116260757837,0.190494474548722,0.0606573913574753
"29",0.974526830682315,0.0377788441136896,0.238956305592466,0.190846302845201,0.0588645530451117
"30",0.87416631854374,9.90009257340018e-74,1,0.113818348022796,3.76275786364824e-10
"31",0.973269563382733,0.0228805536524915,0.241796328478479,0.189642310525316,0.0559780501771377
"32",0.9742150128376,0.975640053474343,0.237881580658706,0.191165995299621,0.0560487334738144
"33",0.872213479027905,0.976336580109689,0.999999981429054,0.114531429984627,0.000120181318782755
"34",0.974190244864355,0.870165683687971,0.237337855244361,0.191230129908243,0.0563487355204422
"35",0.974134318711404,0.0482390420195432,0.233790592078374,0.191884403791445,0.0592555540946439
"36",0.962291303110266,0.00954183649265706,0.395326502282963,0.178710461556655,0.0678932322460061
"37",0.777443293503918,0.125519449107833,0.773505840821284,0.1311110380478,0.0875795882740764
"38",0.974566161987939,0.953239781053358,0.225177430122162,0.192274088991939,0.0545398426344539
"39",0.974893747199664,0.0449653861671566,0.223326114002964,0.192651789059627,0.0583791734142576
"40",0.973303130063898,0.999966146691979,0.244176167720595,0.191506149537975,0.0566053957298948
"41",0.973030973167688,0.500236366089036,0.235059928099736,0.191619807797988,0.0555013010988695
"42",0.975133843157682,0.999999957489486,0.221057948147129,0.193798937900603,0.0557906355543856
"43",0.973044759977292,0.967403840677373,0.231783698754074,0.192156534556449,0.0559843756753281
"44",0.97246014698328,0.999990987315864,0.229970719015987,0.192319283934476,0.0543660072345002
"45",0.981009151008135,6.9715340750912e-05,0.0389556111410302,0.206829061232626,0.052406347061228
"46",0.972453333302419,0.166142737155989,0.237814379114175,0.191107985544081,0.0539215934586989
"47",0.531278857186447,0.00198317961296916,0.999836610914589,0.104110339877063,0.996833352349908
"48",0.972427647179747,0.916467400359959,0.236780418643046,0.191195487622431,0.0523499790228614
"49",0.853868078952902,1.62330437684286e-10,0.999999999999692,0.126178783217243,0.0755049011678026
"50",0.973064734982317,0.271681032461722,0.233415538706205,0.191877456100317,0.0551092960838182
"51",0.972350139912179,0.0562222066530276,0.233147355828833,0.191902857921632,0.0537967387923646
"52",0.971834984451383,0.87846337509308,0.233467469138249,0.191827085131037,0.052453684925906
"53",0.956686176509004,0.0802286195384078,0.281141036360198,0.181702329133452,0.0387977716825691
"54",0.517140864850549,0.000571396034978014,0.999908949270574,0.104974055948094,0.999591009850288
"55",0.97129231376678,0.999448788891466,0.232230360905041,0.1919740614309,0.0513328165842783
"56",0.83978345475131,0.918946327209058,0.998329963335102,0.126555912191611,0.0719687919670884
"57",0.970268079472444,0.999717959691406,0.23429262407598,0.191564150655094,0.048787832670878
"58",0.974684215103739,0.271364929967527,0.371400735159805,0.192095995683591,0.0968535345239528
"59",0.969853284278002,0.955043365374295,0.238201564618313,0.190960267690951,0.0475948572513582
"60",0.838927382125672,0.912622377691378,0.999966909092692,0.126215341282382,0.0696220566455905
"61",2.90746195546133e-10,0.976915862128457,0.999999848615625,0.0827315158448998,0.999999974524445
"62",0.840087869717428,0.00148157193777401,0.999645226892992,0.126211823253469,0.0691125452823388
"63",0.966166287154562,0.0304706041945699,0.275026043819644,0.176944315824277,7.80400643033009e-06
"64",0.967012085516686,0.85536288749127,0.280788785210701,0.188373995726679,0.0484567991769457
"65",0.975409724310864,0.000444735266494603,0.0695389634440488,0.20148577065254,0.0379787631945015
"66",0.826044889140121,0.0772500088606633,0.999493105220084,0.126675763572453,0.0684492365550516
"67",0.969164520104565,0.999918077571444,0.17824256117473,0.195209663667443,0.0473048881682137
"68",0.963290622760511,0.932487840845251,0.256223873423486,0.180824525450374,0.000111321166940713
"69",0.965646494747191,0.846929134764467,0.237135038625646,0.19116785392979,0.0401508790971335
"70",0.966064932598909,0.960163104766835,0.24120948914023,0.191080171827639,0.0429533245348662
